Raiders of the Lost Ark
District 9
Silence of the Lambs
Pan's Labyrinth
The Good the Bad and the Ugly
Forrest Gump
Pulp Fiction
Spirited Away
ConAir
Green Book
Waterloo
12 Angry Men
King of Comedy
Edge of Tomorrow
Robin Hood: Prince of Thieves
Lord of the Rings
Rush
Lincoln
Dr Strangelove
Princess Mononoke
National Treasure
The Last Samurai
Gettysburg
The Pianist
Terminator
Snowpiercer
Jaws
The Social Network
Jumanji
Lord of War
Amelie
Argo
Tora! Tora! Tora!
Truman Show
Watchmen
Shutter Island
Die Hard
Armageddon
Hell or High Water
Vice
Crouching Tiger Hidden Dragon
Memento
Vertigo
Reservoir Dogs
Rain Man
Million Dollar Baby
Zulu
Bridge Over the River Kwai
Ex Machina
Taxi Driver
One Flew over the Cuckoos Nest
In Bruges
Wolf of Wall Street
A Beautiful Mind
Letters from Iwo Jima
Rocky (nr?)
Unbreakable
The Green Mile
Spaceballs
Night of the Living Dead
City of God
The Raid (en misschien 2)
Kingdom of Heaven Director's Cut
Braveheart
Ben-Hur
12 Monkeys
Dredd
The Whickerman
Starship Troopers
Blood Diamond
Predator
Tremors
Kung Fu Hustle
Glory
The Princess Bride
Nightcrawler
Super Troopers
The Fly
Groundhog Day
The Usual Suspects
Dirty Harry
An American Wherewolf in London
Looper
Blazing Saddles
Hacksaw Ridge
Willy Wonka and the Chocolate Factory
The Duelists
Jojo Rabbit
Dog Day Afternoon
Sixth Sense
Robocop
Eraserhead
They Live
Your Name
Ferris Bueller's Day Off
Matrix Revolutions
The Crucible
Leaving Las Vegas
The Jesus Rolls
Pig
Cloud Atlas
Symbol
Event Horizon
Men in Black
Kick-Ass
Pirates of the Caribbean
Enemy at the Gates
Another Round
Road to Perdition
Unforgiven
Three Billboards Outside Ebbing Missouri
O Brother Where Art Thou
Call Me By Your Name
Legends of the Fall
Dances With Wolves
The Last of the Mohicans
Moon
Hungry
The Wind That Shakes the Barley
Bajirao Mastani
Bahubali: The Beginning
All Quiet On The Western Front
Solaris (1972)
The Eight Mountains
The Master
Sin City
The Bounty
The Wizard of Oz
Gone With the Wind
The Last Duel
Star Trek II: The Wrath of Khan
Come and See
Pride and Prejudice
Mildred Pierce
The Great Dictator
Trial of the Chicago Seven
Howl's Moving Castle
Rashomon
Yojimbo
Ikiru
Fifth Element
The Dictator
South Park: Bigger, Longer & Uncut
Goldfinger
Ran
The Elephant Man
My Cousin Vinny
Mulholland Drive
Blue Velvet
Henry V
Raising Arizona
Back to the Future
Poor Things
Ghostbusters 2
The Thin Red Line
